Fichier,Titre,Référence,Catégorie,Année,Format,Type
nathalie-0.webp,Santé !,bf2385,Réception,2019,paysage,Argentique
nathalie-1.webp,Et bon anniversaire ! ,bf2386,Réception,2020,paysage,Argentique
nathalie-2.webp,Let's party!,bf2387,Concert,2021,paysage,Numérique
nathalie-3.webp,Tout est installé,bf2388,Mariage,2019,portrait,Argentique
nathalie-4.webp,Vers l'éternité,bf2389,Mariage,2020,portrait,Numérique
nathalie-5.webp,Embrassez la mariée ,bf2390,Mariage,2021,portrait,Numérique
nathalie-6.webp,Dansons ensemble,bf2391,Mariage,2020,paysage,Numérique
nathalie-7.webp,Le menu ,bf2392,Mariage,2019,paysage,Numérique
nathalie-8.webp,Au bal masqué,bf2393,Concert,2021,portrait,Numérique
nathalie-9.webp,Let's dance!,bf2394,Mariage,2022,paysage,Numérique
nathalie-10.webp,Jour de match,bf2395,Télévision,2022,paysage,Numérique
nathalie-11.webp,Préparation ,bf2396,Concert,2022,paysage,Argentique
nathalie-12.webp,Bière ou eau plate ?,bf2397,Concert,2022,paysage,Numérique
nathalie-13.webp,Bouquet final,bf2398,Mariage,2022,portrait,Numérique
nathalie-14.webp,Du soir au matin,bf2399,Mariage,2022,portrait,Argentique
nathalie-15.webp,Team mariée ,bf2400,Mariage,2022,portrait,Numérique
